model_family,routing,fold,rows,threshold,accuracy,precision,recall,f1,strategy_sharpe,strategy_max_drawdown,avg_daily_strategy_return,trade_rate,roc_auc
Random Forest,Baseline,1,230,0.45,0.4652173913043478,0.5286624203821656,0.6287878787878788,0.5743944636678201,0.7042401053100438,-0.17336757479909826,0.00029689153741793044,0.6826086956521739,0.4155844155844156
Random Forest,Hard MoE,1,230,0.45,0.45652173913043476,0.5228758169934641,0.6060606060606061,0.5614035087719298,0.493208659529442,-0.17340718425379276,0.00025204408005108017,0.6652173913043479,0.4247062461348176
Random Forest,Soft MoE,1,230,0.45,0.5043478260869565,0.5517241379310345,0.7272727272727273,0.6274509803921569,1.9300249491703119,-0.17340718425379276,0.0010212943337485042,0.7565217391304347,0.4651360544217687
Random Forest,Baseline,2,192,0.45,0.546875,0.5529411764705883,0.8952380952380953,0.6836363636363636,0.9128228523367312,-0.14686822418168233,0.0007267717803546911,0.8854166666666666,0.5673782156540776
Random Forest,Hard MoE,2,192,0.45,0.5520833333333334,0.5637583892617449,0.8,0.6614173228346457,0.755290648941968,-0.1636775682370385,0.0006319811559203624,0.7760416666666666,0.551888341543514
Random Forest,Soft MoE,2,192,0.45,0.5572916666666666,0.5769230769230769,0.7142857142857143,0.6382978723404256,0.8870971951607659,-0.09259292816393794,0.0006521875884020993,0.6770833333333334,0.5443897099069512
Random Forest,Baseline,3,205,0.45,0.5756097560975609,0.5763546798029556,0.9915254237288136,0.7289719626168224,4.134762219842355,-0.06139214018762029,0.002239038388673262,0.9902439024390244,0.4849016169881161
Random Forest,Hard MoE,3,205,0.45,0.5707317073170731,0.5773195876288659,0.9491525423728814,0.717948717948718,4.277805865785089,-0.05117807393099061,0.00225953043672739,0.9463414634146341,0.47925189947399177
Random Forest,Soft MoE,3,205,0.45,0.5560975609756098,0.5706806282722513,0.923728813559322,0.7055016181229773,4.17084841027178,-0.05117807393099072,0.0022028176431286737,0.9317073170731708,0.4216832261835184
HistGradientBoosting,Baseline,1,230,0.45,0.4652173913043478,0.5343511450381679,0.5303030303030303,0.532319391634981,0.8650225529072976,-0.12552430177017126,0.00032781555611408546,0.5695652173913044,0.4312384044526902
HistGradientBoosting,Hard MoE,1,230,0.45,0.4434782608695652,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.5568971661593561,-0.11562110520805224,0.0002752963706629716,0.5739130434782609,0.435374149659864
HistGradientBoosting,Soft MoE,1,230,0.45,0.4434782608695652,0.5163934426229508,0.4772727272727273,0.49606299212598426,0.984120671977567,-0.11562110520805224,0.0003840716748825854,0.5304347826086957,0.4481292517006803
HistGradientBoosting,Baseline,2,192,0.45,0.5364583333333334,0.5727272727272728,0.6,0.586046511627907,0.3713749610551759,-0.14081063576551933,0.00022839575567122606,0.5729166666666666,0.5375478927203066
HistGradientBoosting,Hard MoE,2,192,0.45,0.5729166666666666,0.5966386554621849,0.6761904761904762,0.6339285714285714,1.3325768895470609,-0.08291095663900105,0.0008080238459365406,0.6197916666666666,0.5979200875752599
HistGradientBoosting,Soft MoE,2,192,0.45,0.5416666666666666,0.5779816513761468,0.6,0.5887850467289719,1.228446252122429,-0.0838451031292573,0.0006894366648589303,0.5677083333333334,0.5708264915161467
HistGradientBoosting,Baseline,3,205,0.45,0.5707317073170731,0.5872093023255814,0.8559322033898306,0.696551724137931,4.098668518087456,-0.039558149750839045,0.002074719330573674,0.8390243902439024,0.47262809273329437
HistGradientBoosting,Hard MoE,3,205,0.45,0.5073170731707317,0.5491329479768786,0.8050847457627118,0.6529209621993127,3.26287954415926,-0.061011063110342545,0.001719269890530494,0.8439024390243902,0.4487629066822521
HistGradientBoosting,Soft MoE,3,205,0.45,0.5170731707317073,0.5575757575757576,0.7796610169491526,0.6501766784452296,3.547484560710609,-0.06101106311034232,0.001841460608959213,0.8048780487804879,0.4605980907851159
XGBoost,Baseline,1,230,0.45,0.46956521739130436,0.5347222222222222,0.5833333333333334,0.5579710144927537,1.049671082707569,-0.16134367683107964,0.0004818020195656706,0.6260869565217392,0.4254792826221397
XGBoost,Hard MoE,1,230,0.45,0.45217391304347826,0.5205479452054794,0.5757575757575758,0.5467625899280576,0.48787755994283794,-0.14281738937659216,0.00025907029999433024,0.6347826086956522,0.4332096474953618
XGBoost,Soft MoE,1,230,0.45,0.4608695652173913,0.5298507462686567,0.5378787878787878,0.5338345864661654,1.3490537233075686,-0.14281738937659216,0.0005483731164692116,0.5826086956521739,0.44998453927025356
XGBoost,Baseline,2,192,0.45,0.515625,0.5422535211267606,0.7333333333333333,0.6234817813765182,0.1523232100352572,-0.21568956212499846,0.00012596470202354848,0.7395833333333334,0.5282977558839628
XGBoost,Hard MoE,2,192,0.45,0.5520833333333334,0.5714285714285714,0.7238095238095238,0.6386554621848739,0.6696530107336315,-0.11620378470116788,0.0004997790204793237,0.6927083333333334,0.5618500273672689
XGBoost,Soft MoE,2,192,0.45,0.53125,0.5609756097560976,0.6571428571428571,0.6052631578947368,0.9161071292418453,-0.11124174074826687,0.0006678861876872631,0.640625,0.5367816091954023
XGBoost,Baseline,3,205,0.45,0.551219512195122,0.5670103092783505,0.9322033898305084,0.7051282051282052,3.921985281981408,-0.05314111767972951,0.0021116537826581815,0.9463414634146341,0.4806156243911942
XGBoost,Hard MoE,3,205,0.45,0.5317073170731708,0.563953488372093,0.8220338983050848,0.6689655172413793,3.2875673808755375,-0.054316742156306996,0.0016957003883140503,0.8390243902439024,0.46522501461133836
XGBoost,Soft MoE,3,205,0.45,0.5365853658536586,0.5705521472392638,0.788135593220339,0.6619217081850534,3.48064391949409,-0.05431674215630733,0.0017626474283945711,0.7951219512195122,0.44223650886421195
LightGBM,Baseline,1,230,0.45,0.4434782608695652,0.515625,0.5,0.5076923076923077,-0.011524978298725595,-0.13749653907824155,-4.50146780255977e-06,0.5565217391304348,0.40866573902288184
LightGBM,Hard MoE,1,230,0.45,0.4652173913043478,0.5365853658536586,0.5,0.5176470588235295,0.9545119045973729,-0.09778327341812343,0.0004552424710525256,0.5347826086956522,0.42099567099567103
LightGBM,Soft MoE,1,230,0.45,0.46956521739130436,0.543859649122807,0.4696969696969697,0.5040650406504065,1.8066609681992694,-0.09778327341812343,0.0006848831731098008,0.4956521739130435,0.44167439703153993
LightGBM,Baseline,2,192,0.45,0.5364583333333334,0.5597014925373134,0.7142857142857143,0.6276150627615062,0.43172311959566395,-0.17133999457783133,0.00033282618970476566,0.6979166666666666,0.5045977011494253
LightGBM,Hard MoE,2,192,0.45,0.5520833333333334,0.5736434108527132,0.7047619047619048,0.6324786324786325,1.0774378976607706,-0.1307298968370595,0.0007608655417180232,0.671875,0.5799671592775042
LightGBM,Soft MoE,2,192,0.45,0.5416666666666666,0.5726495726495726,0.638095238095238,0.6036036036036037,1.415468096992309,-0.09349113295391287,0.0008761267046086542,0.609375,0.5686918445539135
LightGBM,Baseline,3,205,0.45,0.5414634146341464,0.5697674418604651,0.8305084745762712,0.6758620689655173,3.545568551351297,-0.04764433547327218,0.0018327796781194181,0.8390243902439024,0.46503019676602375
LightGBM,Hard MoE,3,205,0.45,0.5219512195121951,0.5609756097560976,0.7796610169491526,0.6524822695035462,3.514950686155435,-0.04961176697898029,0.0017398705795928376,0.8,0.4387784921098773
LightGBM,Soft MoE,3,205,0.45,0.4975609756097561,0.5483870967741935,0.7203389830508474,0.6227106227106227,3.3310752182599797,-0.04961176697898029,0.0016095148011564544,0.7560975609756098,0.41715371127995327
