model_family,routing,folds,avg_accuracy,avg_precision,avg_recall,avg_f1,avg_roc_auc,avg_strategy_sharpe,avg_strategy_max_drawdown,avg_daily_strategy_return,avg_trade_rate
Random Forest,Soft MoE,3,0.539245684576411,0.5664426143754543,0.7884290850392546,0.6570834902851866,0.4770696635040794,2.329323518200953,-0.10572606211624047,0.0012920998550930924,0.7884374631789797
LightGBM,Soft MoE,3,0.5029309532225756,0.5549654395155245,0.6093770636143517,0.5767930889882109,0.4758399842884689,2.184401427817186,-0.08029539111700552,0.0010568415596249698,0.620374911629551
HistGradientBoosting,Soft MoE,3,0.500739366089313,0.5506502838582851,0.6189779147406266,0.5783415724333952,0.493184611333981,1.9200171616035349,-0.0868257571492173,0.0009716563162335762,0.6343403882408389
Random Forest,Baseline,3,0.5292340491339695,0.5526527588852365,0.8385171325849292,0.6623342633070021,0.4892880827422031,1.9172750591630434,-0.12720931305613362,0.0010875672354819612,0.8527564215859549
XGBoost,Soft MoE,3,0.5095683103570167,0.5537928344213393,0.661052412747328,0.6003398175153185,0.47633421910995594,1.9152682573478348,-0.10279195742705545,0.0009929689108503486,0.6727852156238954
LightGBM,Hard MoE,3,0.513083981383292,0.5570681288208231,0.6614743072370192,0.6008693202685693,0.47991377412768416,1.848966829471193,-0.09270831241138773,0.0009853261974544622,0.6688858695652175
Random Forest,Hard MoE,3,0.5264455932602804,0.5546512646280249,0.7850710494778292,0.6469231831850978,0.48528216238410776,1.8421017247521663,-0.1294209421406073,0.0010478518908996108,0.7958668404618828
HistGradientBoosting,Baseline,3,0.5241358106515848,0.564762573363674,0.6620784112309536,0.6049725424669397,0.48047146330209706,1.778355344016643,-0.10196436242884321,0.0008769768807863285,0.6605020914339578
HistGradientBoosting,Hard MoE,3,0.5079040002356545,0.5536410395301928,0.6654755790349011,0.6006670162597998,0.49401904797245866,1.7174511999552255,-0.08651437498579861,0.0009341967023766686,0.6792023830564392
XGBoost,Baseline,3,0.5121365765288087,0.5479953508757778,0.7496233521657251,0.6288603336658257,0.47813088763243217,1.7079931915747446,-0.14339145221193586,0.0009064735014158001,0.7706705844232355
XGBoost,Hard MoE,3,0.5119881878166609,0.5519766683353813,0.7072003326240615,0.6181278564514369,0.48676156315798963,1.4816993171840023,-0.10444597207802235,0.0008181832362625681,0.722171777424296
LightGBM,Baseline,3,0.507133336279015,0.5483646447992595,0.6815980629539952,0.6037231464731104,0.4594312123127769,1.321922230882745,-0.11882695637644836,0.0007203681333405413,0.697820932013668
