model,threshold,accuracy,precision,recall,f1,strategy_sharpe,strategy_max_drawdown,avg_daily_strategy_return,trade_rate,buy_hold_sharpe,buy_hold_max_drawdown,roc_auc
Baseline,0.45,0.504,0.5670103092783505,0.7333333333333333,0.6395348837209303,1.8995925855515516,-0.09287537238490251,0.0012290840802944797,0.776,2.2508146088340406,-0.09287537238490251,0.4509333333333333
Hard MoE,0.45,0.552,0.6,0.76,0.6705882352941176,2.880543008465003,-0.059341158794694704,0.0017441134096429411,0.76,2.2508146088340406,-0.09287537238490251,0.4946666666666667
Soft MoE,0.45,0.552,0.6,0.76,0.6705882352941176,2.880543008465003,-0.059341158794694704,0.0017441134096429411,0.76,2.2508146088340406,-0.09287537238490251,0.4946666666666667
Baseline,0.5,0.48,0.5694444444444444,0.5466666666666666,0.5578231292517006,2.0722006553880767,-0.04462343116495904,0.0009009224149537461,0.576,2.2508146088340406,-0.09287537238490251,0.4509333333333333
Hard MoE,0.5,0.512,0.5853658536585366,0.64,0.6114649681528662,2.6234216232302496,-0.05934115879469459,0.0015433584308653316,0.656,2.2508146088340406,-0.09287537238490251,0.4946666666666667
Soft MoE,0.5,0.512,0.5853658536585366,0.64,0.6114649681528662,2.6234216232302496,-0.05934115879469459,0.0015433584308653316,0.656,2.2508146088340406,-0.09287537238490251,0.4946666666666667
Baseline,0.52,0.48,0.5806451612903226,0.48,0.5255474452554745,2.938305361640678,-0.022022527142898762,0.001089292236469246,0.496,2.2508146088340406,-0.09287537238490251,0.4509333333333333
Hard MoE,0.52,0.504,0.5866666666666667,0.5866666666666667,0.5866666666666667,3.1308150776323607,-0.05227799109597642,0.001565254459386118,0.6,2.2508146088340406,-0.09287537238490251,0.4946666666666667
Soft MoE,0.52,0.504,0.5866666666666667,0.5866666666666667,0.5866666666666667,3.1308150776323607,-0.05227799109597642,0.001565254459386118,0.6,2.2508146088340406,-0.09287537238490251,0.4946666666666667
Baseline,0.55,0.44,0.5609756097560976,0.30666666666666664,0.39655172413793105,2.2070513287677773,-0.019725723649117954,0.0006340678920811341,0.328,2.2508146088340406,-0.09287537238490251,0.4509333333333333
Hard MoE,0.55,0.504,0.6031746031746031,0.5066666666666667,0.5507246376811594,3.0689246179877085,-0.05227799109597642,0.0014483908301183295,0.504,2.2508146088340406,-0.09287537238490251,0.4946666666666667
Soft MoE,0.55,0.504,0.6031746031746031,0.5066666666666667,0.5507246376811594,3.0689246179877085,-0.05227799109597642,0.0014483908301183295,0.504,2.2508146088340406,-0.09287537238490251,0.4946666666666667
Baseline,0.58,0.416,0.5357142857142857,0.2,0.2912621359223301,1.701648097092411,-0.019725723649117843,0.000433260040797688,0.224,2.2508146088340406,-0.09287537238490251,0.4509333333333333
Hard MoE,0.58,0.456,0.574468085106383,0.36,0.4426229508196721,1.7955679584580448,-0.037529539762551356,0.0006938859637354919,0.376,2.2508146088340406,-0.09287537238490251,0.4946666666666667
Soft MoE,0.58,0.456,0.574468085106383,0.36,0.4426229508196721,1.7955679584580448,-0.037529539762551356,0.0006938859637354919,0.376,2.2508146088340406,-0.09287537238490251,0.4946666666666667
Baseline,0.6,0.424,0.5555555555555556,0.2,0.29411764705882354,1.9634954990033266,-0.019725723649117843,0.000492306356677812,0.216,2.2508146088340406,-0.09287537238490251,0.4509333333333333
Hard MoE,0.6,0.456,0.5813953488372093,0.3333333333333333,0.423728813559322,1.6580527902822029,-0.03203710063235665,0.0006085965975446184,0.344,2.2508146088340406,-0.09287537238490251,0.4946666666666667
Soft MoE,0.6,0.456,0.5813953488372093,0.3333333333333333,0.423728813559322,1.6580527902822029,-0.03203710063235665,0.0006085965975446184,0.344,2.2508146088340406,-0.09287537238490251,0.4946666666666667
