model,routing,fold,rows,threshold,accuracy,precision,recall,f1,strategy_sharpe,strategy_max_drawdown,avg_daily_strategy_return,trade_rate,roc_auc
Random Forest,Baseline,1,229,0.45,0.4410480349344978,0.5061728395061729,0.6307692307692307,0.5616438356164384,-0.8541892307969234,-0.1746279985410879,-0.00046515013828425357,0.7074235807860262,0.4216783216783217
Random Forest,Hard MoE,1,229,0.45,0.4890829694323144,0.5375722543352601,0.7153846153846154,0.6138613861386139,0.10336583137429568,-0.13696958087436628,6.0201499103035615e-05,0.7554585152838428,0.44017094017094016
Random Forest,Soft MoE,1,229,0.45,0.4585152838427948,0.5178571428571429,0.6692307692307692,0.5838926174496645,-0.4446126773272465,-0.13489494769776667,-0.0002257809934293773,0.7336244541484717,0.39898989898989895
Random Forest,Baseline,2,192,0.45,0.5416666666666666,0.547486033519553,0.9333333333333333,0.6901408450704225,0.6456129778155951,-0.1477852205390261,0.0005419258777130797,0.9322916666666666,0.5556650246305418
Random Forest,Hard MoE,2,192,0.45,0.546875,0.56,0.8,0.6588235294117647,0.4872862832830783,-0.13115530056944025,0.00040731163873442396,0.78125,0.5684181718664477
Random Forest,Soft MoE,2,192,0.45,0.5416666666666666,0.5594405594405595,0.7619047619047619,0.6451612903225806,-0.00218736529620136,-0.15721878040668058,-1.616594121997839e-06,0.7447916666666666,0.5499726327312534
Random Forest,Baseline,3,206,0.45,0.5436893203883495,0.56,0.9491525423728814,0.7044025157232704,3.9298806332443044,-0.05019953110355124,0.002122313553157827,0.970873786407767,0.47958397534668723
Random Forest,Hard MoE,3,206,0.45,0.5339805825242718,0.5617977528089888,0.847457627118644,0.6756756756756757,3.6748802385675012,-0.04405923889624286,0.0019263711300712332,0.8640776699029126,0.46359784283513106
Random Forest,Soft MoE,3,206,0.45,0.5388349514563107,0.5827338129496403,0.6864406779661016,0.6303501945525292,3.5841617511270973,-0.04405923889624297,0.0015626036663749544,0.6747572815533981,0.5115562403697996
HistGradientBoosting,Baseline,1,229,0.45,0.462882096069869,0.5255474452554745,0.5538461538461539,0.5393258426966292,0.30017607230829935,-0.1093318558333769,0.000123458647018494,0.5982532751091703,0.42952602952602953
HistGradientBoosting,Hard MoE,1,229,0.45,0.48034934497816595,0.5379310344827586,0.6,0.5672727272727273,0.68590555187743,-0.1322626978075142,0.00034272721696093124,0.6331877729257642,0.43846153846153846
HistGradientBoosting,Soft MoE,1,229,0.45,0.48034934497816595,0.5384615384615384,0.5923076923076923,0.5641025641025641,1.3499848226499738,-0.0750755832512029,0.0006210217224989845,0.6244541484716157,0.42024087024087026
HistGradientBoosting,Baseline,2,192,0.45,0.5364583333333334,0.5579710144927537,0.7333333333333333,0.6337448559670782,0.9615999720186925,-0.10348050925213481,0.0007330033902691003,0.71875,0.5234811165845649
HistGradientBoosting,Hard MoE,2,192,0.45,0.578125,0.5869565217391305,0.7714285714285715,0.6666666666666666,1.2960692074325897,-0.07047701512753746,0.000880202914508602,0.71875,0.6003831417624521
HistGradientBoosting,Soft MoE,2,192,0.45,0.546875,0.5652173913043478,0.7428571428571429,0.6419753086419753,0.45408323358874264,-0.13115530056944014,0.0003811296687121995,0.71875,0.5660645867542419
HistGradientBoosting,Baseline,3,206,0.45,0.5388349514563107,0.5657142857142857,0.8389830508474576,0.6757679180887372,4.5305538853244505,-0.05019953110355113,0.0022901062057793095,0.8495145631067961,0.4659090909090909
HistGradientBoosting,Hard MoE,3,206,0.45,0.4563106796116505,0.5238095238095238,0.559322033898305,0.5409836065573771,2.6342489058738674,-0.06102071721591984,0.0011711265857143173,0.6116504854368932,0.43971494607087824
HistGradientBoosting,Soft MoE,3,206,0.45,0.5145631067961165,0.5714285714285714,0.6101694915254238,0.5901639344262295,4.148802207990214,-0.06102071721591984,0.002079603040001182,0.6116504854368932,0.5007704160246533
