ticker,rows,net_sharpe,gross_sharpe,buy_hold_sharpe,net_max_drawdown,buy_hold_max_drawdown,avg_daily_net_return,avg_position,avg_turnover,total_transaction_cost,cost_bps
^GSPC,252.0,2.859512309909196,2.859512309909196,1.6077349275822932,-0.0350689911503802,-0.0928753723849024,0.0010789385928509643,0.5388477659767259,0.092201072889997,0.0,0
^IXIC,252.0,3.0343767412475935,3.0343767412475935,1.9121114543691082,-0.03590194190106211,-0.13115530056944014,0.0010779110529525098,0.4437705121749186,0.11870730608966372,0.0,0
^NSEI,123.0,1.296673043941827,1.296673043941827,1.5764449334901287,-0.04819278143711003,-0.06920348712993696,0.0004890532991261954,0.5416128221138026,0.0887144246705382,0.0,0
^GSPC,252.0,2.7355469503396117,2.859512309909196,1.6077349275822932,-0.03510363234440472,-0.0928753723849024,0.0010328380564059657,0.5388477659767259,0.092201072889997,0.01161733518413962,5
^IXIC,252.0,2.8704813032399694,3.0343767412475935,1.9121114543691082,-0.04067986634566112,-0.13115530056944014,0.001018557399907678,0.4437705121749186,0.11870730608966372,0.014957120567297628,5
^NSEI,123.0,1.1803505746470053,1.296673043941827,1.5764449334901287,-0.04920149009299879,-0.06920348712993696,0.0004446960867909264,0.5416128221138026,0.0887144246705382,0.005455937117238099,5
^GSPC,252.0,2.6105890355683345,2.859512309909196,1.6077349275822932,-0.035138273538429465,-0.0928753723849024,0.000986737519960967,0.5388477659767259,0.092201072889997,0.02323467036827924,10
^IXIC,252.0,2.704841190205743,3.0343767412475935,1.9121114543691082,-0.04543550405451646,-0.13115530056944014,0.0009592037468628463,0.4437705121749186,0.11870730608966372,0.029914241134595256,10
^NSEI,123.0,1.063339469677784,1.296673043941827,1.5764449334901287,-0.050209558095084206,-0.06920348712993696,0.0004003388744556571,0.5416128221138026,0.0887144246705382,0.010911874234476197,10
^GSPC,252.0,2.3583863958088807,2.859512309909196,1.6077349275822932,-0.035207555926478395,-0.0928753723849024,0.0008945364470709702,0.5388477659767259,0.092201072889997,0.04646934073655848,20
^IXIC,252.0,2.369325880339998,3.0343767412475935,1.9121114543691082,-0.05572924105815513,-0.13115530056944014,0.0008404964407731826,0.4437705121749186,0.11870730608966372,0.05982848226919051,20
^NSEI,123.0,0.8278187951188445,1.296673043941827,1.5764449334901287,-0.05222377281547741,-0.06920348712993696,0.00031162444978511907,0.5416128221138026,0.0887144246705382,0.021823748468952395,20
